Class ID,Preferred Label,Synonyms,Definitions,Obsolete,CUI,Semantic Types,Parents,alternative term,BFO CLIF specification label,BFO OWL specification label,curator note,CVDO definition,CVDO editor note,definition,definition source,editor note,editor preferred term,elucidation,example of usage,has associated axiom(fol),has associated axiom(nl),has axiom label,http://data.bioontology.org/metadata/prefixIRI,http://purl.obolibrary.org/obo/BFO_0000055,http://purl.obolibrary.org/obo/BFO_0000066,http://purl.obolibrary.org/obo/BFO_0000132,http://purl.obolibrary.org/obo/BFO_0000172,http://purl.org/dc/elements/1.1/contributor,http://purl.org/dc/elements/1.1/member,http://purl.org/dc/terms/license,http://www.geneontology.org/formats/oboInOwl#hasExactSynonym,http://www.w3.org/2000/01/rdf-schema#isDefinedBy,http://www.w3.org/2000/01/rdf-schema#seeAlso,http://xmlns.com/foaf/0.1/homepage,http://xmlns.com/foaf/0.1/mbox,imported from,term editor
http://purl.obolibrary.org/obo/CVDO_0000281,part of atrial myocardium with impaired conduction,,,FALSE,,,http://purl.obolibrary.org/obo/OGMS_0000045,,,,,,,,,,,,,,,,CVDO:0000281,,,,,,,,,,,,,,
http://purl.obolibrary.org/obo/FMA_9462,FMA_9462,,,FALSE,,,,,,,,,,,,,,,,,,,FMA:9462,,,,,,,,,,,,,,
http://purl.obolibrary.org/obo/FMA_63194,FMA_63194,,,FALSE,,,,,,,,,,,,,,,,,,,FMA:63194,,,,,,,,,,,,,,
http://purl.obolibrary.org/obo/DOID_6000,DOID_6000,,A disease characterized by the inability of the heart to pump a sufficient amount of blood throughout the body.,FALSE,,,http://purl.obolibrary.org/obo/OGMS_0000031,,,,,A disease characterized by the inability of the heart to pump a sufficient amount of blood throughout the body.,,,,,,,,,,,DOID:6000,,,,,,,,,,,,,,
http://purl.obolibrary.org/obo/CVDO_0000168,retrograd blood flow through mitral valve during left ventricular systole,,,FALSE,,,http://purl.obolibrary.org/obo/CVDO_0000182,,,,,,,,,,,,,,,,CVDO:0000168,,,,,,,,,,,,,,
http://purl.obolibrary.org/obo/DOID_0000405,DOID_0000405,,,FALSE,,,http://purl.obolibrary.org/obo/CVDO_0000267,,,,,,,,,,,,,,,,DOID:0000405,,,,,,,,,,,,,,
http://purl.obolibrary.org/obo/DOID_224,DOID_224,,A brain ischemia that is part of a transient disease course.,FALSE,,,http://purl.obolibrary.org/obo/DOID_2316,,,,,A brain ischemia that is part of a transient disease course.,,,,,,,,,,,DOID:224,,,,,,,,,,,,,,
http://purl.obolibrary.org/obo/CVDO_0000508,coronary heart disease with stable angina,,A coronary heart disease leading to stable angina.,FALSE,,,http://purl.obolibrary.org/obo/DOID_3393,,,,,,,A coronary heart disease leading to stable angina.,,,,,,,,,CVDO:0000508,,,,,,,,,,,,,,
http://purl.obolibrary.org/obo/DOID_799,DOID_799,,,FALSE,,,http://purl.obolibrary.org/obo/CVDO_0000267,,,,,,,,,,,,,,,,DOID:799,,,,,,,,,,,,,,
http://purl.obolibrary.org/obo/CVDO_0000422,degenerated structure in a mitral valve leaflet,,A disorder of degenerated structure in a mitral valve leaflet.,FALSE,,,http://purl.obolibrary.org/obo/CVDO_0000420,,,,,A disorder of degenerated structure in a mitral valve leaflet.,,,,,,,,,,,CVDO:0000422,,,,,,,,,,,,,,
http://purl.obolibrary.org/obo/DOID_3572,DOID_3572,,A thrombosis that occurs in a dural venous sinus.,FALSE,,,,,,,,A thrombosis that occurs in a dural venous sinus.,,,,,,,,,,,DOID:3572,,http://purl.obolibrary.org/obo/FMA_50762,,,,,,,,,,,,
http://purl.obolibrary.org/obo/DOID_3454,DOID_3454,,An infarction occurring in the brain.,FALSE,,,http://purl.obolibrary.org/obo/CVDO_0000276,,,,,,,,,,,,,,,,DOID:3454,,,,,,,,,,,,,,
http://purl.obolibrary.org/obo/FMA_50723,FMA_50723,,,FALSE,,,,,,,,,,,,,,,,,,,FMA:50723,,,,,,,,,,,,,,
http://purl.obolibrary.org/obo/CVDO_0000182,retrograd blood flow through a heart valve,,,FALSE,,,http://purl.obolibrary.org/obo/CVDO_0000279,,,,,,,,,,,,,,,,CVDO:0000182,,,,,,,,,,,,,,
http://purl.obolibrary.org/obo/DOID_8805,DOID_8805,,A coronary heart disease with an acute disease course.,FALSE,,,http://purl.obolibrary.org/obo/DOID_3393,,,,,A coronary heart disease with an acute disease course.,DOID label 'intermediate coronary syndrome' was changed.,,,,,,,,,,DOID:8805,,,,,,,,,,,,,,
http://purl.obolibrary.org/obo/CVDO_0000052,bundle of Kent,,,FALSE,,,http://purl.obolibrary.org/obo/CVDO_0000463,,,,,,,,,,,,,,,,CVDO:0000052,,,,,,,,,,,,,,
http://purl.obolibrary.org/obo/CVDO_0000035,viral pericarditis,,A pericarditis caused by a viral infection.,FALSE,,,http://purl.obolibrary.org/obo/CVDO_0000033,,,,,A pericarditis caused by a viral infection.,,,,,,,,,,,CVDO:0000035,,,,,,,,,,,,,,
