Class ID,Preferred Label,Synonym,Definitions,Parents
http://www.w3.org/2002/07/owl#Thing,owl:Thing,,,
http://evs.nci.nih.gov/ftp1/NDF-RT/NDF-RT.owl#N0000000003,'Clinical Kinetics [PK]',,,http://purl.obolibrary.org/obo/BFO_0000015
http://evs.nci.nih.gov/ftp1/NDF-RT/NDF-RT.owl#N0000000022,'Elimination [PK]',,,http://evs.nci.nih.gov/ftp1/NDF-RT/NDF-RT.owl#N0000000003
http://evs.nci.nih.gov/ftp1/NDF-RT/NDF-RT.owl#N0000000023,'Metabolism [PK]',,,http://evs.nci.nih.gov/ftp1/NDF-RT/NDF-RT.owl#N0000000022
http://evs.nci.nih.gov/ftp1/NDF-RT/NDF-RT.owl#N0000000024,'Site of Metabolism [PK]',,,http://evs.nci.nih.gov/ftp1/NDF-RT/NDF-RT.owl#N0000000023
http://evs.nci.nih.gov/ftp1/NDF-RT/NDF-RT.owl#N0000000025,'Intestinal Metabolism [PK]',,,http://evs.nci.nih.gov/ftp1/NDF-RT/NDF-RT.owl#N0000000024
http://evs.nci.nih.gov/ftp1/NDF-RT/NDF-RT.owl#N0000000026,'Hepatic Metabolism [PK]',,,http://evs.nci.nih.gov/ftp1/NDF-RT/NDF-RT.owl#N0000000024
http://evs.nci.nih.gov/ftp1/NDF-RT/NDF-RT.owl#N0000000041,'Route of Excretion [PK]',,,http://evs.nci.nih.gov/ftp1/NDF-RT/NDF-RT.owl#N0000000022
http://evs.nci.nih.gov/ftp1/NDF-RT/NDF-RT.owl#N0000000042,'Renal Excretion [PK]',,,http://evs.nci.nih.gov/ftp1/NDF-RT/NDF-RT.owl#N0000000041
http://evs.nci.nih.gov/ftp1/NDF-RT/NDF-RT.owl#N0000000043,'Hepatic Excretion [PK]',,,http://evs.nci.nih.gov/ftp1/NDF-RT/NDF-RT.owl#N0000000041
http://purl.obolibrary.org/obo/BFO_0000001,'entity',,,http://www.w3.org/2002/07/owl#Thing
http://purl.obolibrary.org/obo/BFO_0000003,'occurrent',,"'An entity that has temporal parts and that happens, unfolds or develops through time.'",http://purl.obolibrary.org/obo/BFO_0000001
http://purl.obolibrary.org/obo/BFO_0000015,'process',,"'p is a process = Def. p is an occurrent that has temporal proper parts and for some time t, p s-depends_on some material entity at t. (axiom label in BFO2 Reference: [083-003])'	'An occurrent that has temporal proper parts and for some time t, p s-depends_on some material entity at t.'",http://purl.obolibrary.org/obo/BFO_0000003
http://purl.obolibrary.org/obo/BFO_0000144,'process profile',,'b is a process_profile =Def. there is some process c such that b process_profile_of c (axiom label in BFO2 Reference: [093-002])',http://purl.obolibrary.org/obo/BFO_0000015
http://purl.obolibrary.org/obo/CIDO_0000003,'COVID-19 disease process',,'a coronavirus disease process that is induced by SARS-CoV-2',http://purl.obolibrary.org/obo/OGMS_0000061
http://purl.obolibrary.org/obo/CIDO_0000017,'COVID-19 diagnostic process by CT chest scanning',,'A COVID-19 diagnostic process that uses a computed tomography (CT).',http://purl.obolibrary.org/obo/CIDO_0000033
http://purl.obolibrary.org/obo/CIDO_0000018,'COVID-19 diagnostic process by serological assay',,'A COVID-19 diagnostic process that uses a serological assay that tests the serum from the blood specimen',http://purl.obolibrary.org/obo/CIDO_0000424
http://purl.obolibrary.org/obo/CIDO_0000019,'COVID-19 RT-PCR assay',,,http://purl.obolibrary.org/obo/CIDO_0000259
http://purl.obolibrary.org/obo/CIDO_0000020,'Yale New Haven Hospital SARS-CoV-2 assay',,,http://purl.obolibrary.org/obo/CIDO_0000019
http://purl.obolibrary.org/obo/CIDO_0000021,'Altru Dx SARS-CoV-2 RT-PCR assay',,,http://purl.obolibrary.org/obo/CIDO_0000019
http://purl.obolibrary.org/obo/CIDO_0000026,'COVID-19 diagnostic process by viral culture and isolation',,'A COVID-19 diagnostic process by viral culturing in cells and identification of the isolated viruses',http://purl.obolibrary.org/obo/CIDO_0000424
http://purl.obolibrary.org/obo/CIDO_0000027,'COVID-19 diagnostic process by viral genome sequencing',,'A COVID-19 diagnostic process by viral genome sequencing and identification of the SARS-CoV-2 based on the genome sequence.',http://purl.obolibrary.org/obo/CIDO_0000424
http://purl.obolibrary.org/obo/CIDO_0000028,'COVID-19 diagnostic process based on symptoms',,'A COVID-19 diagnostic process that identifies typical phenotypes (symptoms) of a patient and makes a diagnostic conclusion.',http://purl.obolibrary.org/obo/CIDO_0000424
http://purl.obolibrary.org/obo/CIDO_0000033,'COVID-19 diagnostic process by chest imaging',,'COVID-19 diagnostic process by thoracic imaging'	'A COVID-19 diagnostic process that is performed by chest imaging. Thoracic imaging with chest radiography (CXR) and computed tomography (CT) are key tools for pulmonary disease diagnosis and management.',http://purl.obolibrary.org/obo/CIDO_0000424
http://purl.obolibrary.org/obo/CIDO_0000034,'COVID-19 diagnostic process by chest radiography',,'A COVID-19 diagnostic process that is performed by chest radiography (CXR)'	'COVID-19 diagnostic process by thoracic imaging',http://purl.obolibrary.org/obo/CIDO_0000033
