Question_ID,Questions,Option1 ,Option2,Option3,Option4,Option5,isOpenended
1A,What is the parent node to ton ?,Pound,Second,Base Unit,N/A,N/A,false
2A,What is the parent for the term 'Base Unit' ?,Pint,Unit process,N/A,N/A,false
3A,Base Unit is a Grandparent Node?,True,False,N/A,N/A,N/A,false
4A,Select the Sibling node of 'Bar',Inch,Unit,Base Unit,Standard,N/A,false
5A,Name the parent of Decisecond,hour,killisecond,NominalHour,BaseUnit,Pint,false
6A,Pound has Childern,True, False,N/A,N/A,N/A,false
7A,Name the Childern of PrefixUnit,Unit,Pint,Megahertz,None,N/A,false
8A,How many childern does Standard have ,1,2,3,4,5,false 
9A,Does Knot and Pound Share the same parent?,True,False,N/A,N/A,N/A,false
10A,Name all the child nodes of Base Unit,N/A,N/A,N/A,N/A,N/A,true
