Question_ID,Questions,Option1 ,Option2,Option3,Option4,Option5
1A,Find the term 'coronaviral process to host'. Does it fall under the parent term 'bodily process' ?,Yes,No,N/A,N/A,N/A
2A,What is the parent for the term 'cell-cell signaling' ?,biological_process,cell motility,cellular process,N/A,N/A
3A,What is the parent for the term 'cell growth' ?,biological_process,cell motility,cellular process,N/A,N/A
4A,What is the parent for the term 'cell migration' ?,biological_process,cell motility,cellular process,N/A,N/A
5A,What is the child term for transmission process?,immune response,coronavirus shedding,horizontal pathogen transmission process,self-replication,occurrent
6A,"Do the following terms share a common parent? (A) 'modification of adaptive immune response to antigen', (B) 'induction of adaptive immune response to antigen'",Yes,No,N/A,N/A,N/A
7A,How many stages are present immediately under the term 'coronavirus life cycle stage' ?,1,2,4,6,8
8A,Find the term 'coronavirus life cycle stage'.  Does it fall under the parent term 'coronavirus shedding' ? ,Yes,No,N/A,N/A,N/A
9A,"Which one is the root node (topmost node)  for ""COVID-19 diagnostic process"" ?",cell motility,owl:Thing,transmission process,occurrent,N/A
10A,"Is ""COVID-19 diagnostic process using real time RT-PCR"" a leaf?  (A leaf is a node which has no child)",Yes,No,N/A,N/A,N/A
