D s
/CVDO_0000281 /OGMS_0000045
/FMA_9462 
/FMA_63194 
/DOID_6000 /OGMS_0000031
/CVDO_0000168 /CVDO_0000182
/DOID_0000405 /CVDO_0000267
/DOID_224 /DOID_2316
/CVDO_0000508 /DOID_3393
/DOID_799 /CVDO_0000267
/CVDO_0000422 /CVDO_0000420
/DOID_3572 
/DOID_3454 /CVDO_0000276
/FMA_50723 
/CVDO_0000182 /CVDO_0000279
/DOID_8805 /DOID_3393
/CVDO_0000052 /CVDO_0000463
/CVDO_0000035 /CVDO_0000033
/CVDO_0000412 /CVDO_0000403
/CVDO_0000522 /CVDO_0000519
/FMA_7280 
/DOID_13834 /CVDO_0000154
/CVDO_0000499 /OGMS_0000045
/CVDO_0000489 /CVDO_0000445
/CVDO_0000599 /OGMS_0000061
/CVDO_0000172 /CVDO_0000210
/DOID_57 /OGMS_0000031
/CVDO_0000512 /CVDO_0000510
/DOID_178 /OGMS_0000031
/DOID_118 /OGMS_0000031
/FMA_45840 
/CVDO_0000420 /OGMS_0000045
/CVDO_0000403 /OGMS_0000061
/CVDO_0000530 /CVDO_0000210
/CVDO_0000310 /CVDO_0000534
/DOID_326 /OGMS_0000061
/CVDO_0000062 /DOID_10273
/CVDO_0000045 /DOID_10273
/CVDO_0000532 /CVDO_0000531
/DOID_11713 /CVDO_0000231
/CVDO_0000407 /CVDO_0000403
/CVDO_0000517 /CVDO_0000530
/DOID_8514 /DOID_8515
/CVDO_0000277 /CVDO_0000530
/BFO_0000140 /BFO_0000141
/CVDO_0000523 /CVDO_0000519
/CVDO_0000540 /DOID_10273
/CVDO_0000191 /CVDO_0000279
/DOID_3363 /DOID_2349
/CVDO_0000531 /OGMS_0000045
/CVDO_0000061 /DOID_10273
/CVDO_0000421 /CVDO_0000420
/CVDO_0000173 /CVDO_0000182
/CVDO_0000043 /DOID_10273
/CVDO_0000153 /DOID_10273
/BFO_0000004 /BFO_0000002
/BFO_0000015 /BFO_0000003
/BFO_0000026 /BFO_0000006
/CVDO_0000513 /OGMS_0000061
/CVDO_0000164 /CVDO_0000530
/CVDO_0000181 /CVDO_0000183
/CVDO_0000274 /OGMS_0000061
/DOID_10880 /DOID_3875
/CVDO_0000034 /CVDO_0000033
/CVDO_0000144 /FMA_6266
/FMA_3710 
/CVDO_0000411 /CVDO_0000403
/CVDO_0000504 /CVDO_0000503
/CVDO_0000521 /CVDO_0000542
/DOID_14557 /DOID_6432
/DOID_12326 /DOID_8515
/DOID_341 /CVDO_0000231
/BFO_0000038 /BFO_0000008
/CVDO_0000408 /CVDO_0000403
/CVDO_0000315 /CVDO_0000312
/FMA_12151 
/CVDO_0000541 /CVDO_0000403
/CVDO_0000301 /DOID_10273
/CVDO_0000445 /CVDO_0000310
/CVDO_0000462 /CVDO_0000015
/BFO_0000027 /BFO_0000040
/BFO_0000016 /BFO_0000017
/DOID_5844 /CVDO_0000276
/DOID_325 /CVDO_0000267
/DOID_8725 /CVDO_0000267
/CVDO_0000044 /DOID_10273
/CVDO_0000154 /OGMS_0000031
/DOID_384 /DOID_10273
/CVDO_0000418 /OGMS_0000061
/CVDO_0000435 /CVDO_0000558
/CVDO_0000545 /OGMS_0000045
/CVDO_0000528 /CVDO_0000521
/DOID_10763 /OGMS_0000031
/CVDO_0000426 /OGMS_0000031
/CVDO_0000409 /CVDO_0000403
/CVDO_0000536 /DOID_10273
/CVDO_0000288 /CVDO_0000224
/DOID_525 
/CVDO_0000048 /CVDO_0000047
/CVDO_0000535 /CVDO_0000310
/CVDO_0000518 /CVDO_0000542
/DOID_115 /OGMS_0000031
/CVDO_0000186 /CVDO_0000183
/CVDO_0000169 /CVDO_0000182
/CVDO_0000279 /OGMS_0000061
/CVDO_0000296 /DOID_10273
/CVDO_0000072 /DOID_10273
/CVDO_0000039 /OGMS_0000061
/CVDO_0000526 /CVDO_0000520
/CVDO_0000509 /DOID_8805
/DOID_114 /OGMS_0000031
/FMA_18884 
/FMA_9535 
/DOID_9892 /CVDO_0000234
/DOID_12929 /OGMS_0000031
/DOID_1936 /DOID_2349
/CVDO_0000546 /OGMS_0000031
/CVDO_0000453 /CVDO_0000489
/CVDO_0000563 /OGMS_0000061
/CVDO_0000436 /CVDO_0000092
/FMA_7088 
/BFO_0000144 /BFO_0000015
/DOID_2462 /CVDO_0000267
/CVDO_0000306 /CVDO_0000111
/FMA_7099 
/DOID_630 /OGMS_0000031
/DOID_2868 /OGMS_0000031
/CVDO_0000196 /CVDO_0000280
/CVDO_0000066 /CVDO_0000047
/CVDO_0000159 /OGMS_0000061
/CVDO_0000519 /CVDO_0000542
/CVDO_0000312 /CVDO_0000311
/CVDO_0000537 /CVDO_0000047
/CVDO_0000554 /OGMS_0000045
/DOID_3574 /DOID_3572
/CVDO_0000444 /CVDO_0000140
/CVDO_0000427 /OGMS_0000061
/CVDO_0000220 /CVDO_0000217
/DOID_10273 /OGMS_0000031
/CVDO_0000210 /OGMS_0000061
/DOID_1929 /CVDO_0000597
/CVDO_0000320 /CVDO_0000313
/FMA_50801 
/BFO_0000030 /BFO_0000040
/CVDO_0000187 /CVDO_0000183
/DOID_3825 /CVDO_0000267
/CVDO_0000527 /CVDO_0000520
/CVDO_0000544 /CVDO_0000569
/DOID_6420 /OGMS_0000031
/BFO_0000040 /BFO_0000004
/DOID_1287 /OGMS_0000031
/CVDO_0000311 /CVDO_0000310
/CVDO_0000080 /DOID_10273
/CVDO_0000063 /DOID_10273
/DOID_12935 /DOID_12930
/CVDO_0000550 /OGMS_0000061
/BFO_0000017 /BFO_0000020
/BFO_0000028 /BFO_0000006
/DOID_10128 /OGMS_0000031
/BFO_0000006 /BFO_0000141
/CVDO_0000458 /CVDO_0000535
/DOID_4079 /OGMS_0000031
/DOID_9286 /CVDO_0000267
/DOID_0050645 /CVDO_0000267
/CVDO_0000330 /OGMS_0000061
/CVDO_0000321 /CVDO_0000313
/DOID_9775 
/FMA_7098 
/DOID_989 /OGMS_0000031
/DOID_8516 /OGMS_0000061
/CVDO_0000449 /CVDO_0000448
/CVDO_0000559 /OGMS_0000045
/CVDO_0000225 /OGMS_0000061
/CVDO_0000325 /CVDO_0000314
/CVDO_0000308 /CVDO_0000111
/CVDO_0000081 /DOID_10273
/DOID_396 
/CVDO_0000472 /DOID_10273
/CVDO_0000582 /OGMS_0000031
/BFO_0000145 /BFO_0000019
/CVDO_0000463 /CVDO_0000462
/CVDO_0000480 /DOID_10273
/DOID_9768 /OGMS_0000045
/FMA_3734 
/CVDO_0000316 /CVDO_0000312
/CVDO_0000555 /OGMS_0000045
/FMA_13256 
/CVDO_0000577 /DOID_12930
/FMA_9558 
/FMA_7161 
/FMA_83378 
/DOID_4372 /CVDO_0000225
/BFO_0000146 /BFO_0000140
/CVDO_0000490 /CVDO_0000308
/CVDO_0000473 /CVDO_0000472
/CVDO_0000583 /CVDO_0000571
/DOID_519 /OGMS_0000031
/CVDO_0000216 /OGMS_0000061
/CVDO_0000326 /CVDO_0000314
/BFO_0000034 /BFO_0000016
/DOID_0050644 /CVDO_0000267
/DOID_1869 /DOID_1787
/DOID_8861 /OGMS_0000031
/CVDO_0000110 /CVDO_0000273
/CVDO_0000590 /OGMS_0000061
/CVDO_0000481 /DOID_10273
/CVDO_0000591 /OGMS_0000031
/CVDO_0000317 /CVDO_0000312
/CVDO_0000224 /OGMS_0000061
/CVDO_0000307 /CVDO_0000489
/DOID_5749 /OGMS_0000031
/CVDO_0000485 /DOID_10273
/DOID_11984 /OGMS_0000031
/OGMS_0000061 /OGMS_0000060
/CVDO_0000094 /DOID_10273
/CVDO_0000077 /CVDO_0000047
/CVDO_0000471 /DOID_10273
/DOID_10272 /DOID_10273
/DOID_520 /OGMS_0000031
/CVDO_0000454 /CVDO_0000453
/CVDO_0000564 /OGMS_0000031
/CVDO_0000581 /OGMS_0000031
/DOID_62 /OGMS_0000031
/DOID_11840 /DOID_3393
/DOID_14121 /CVDO_0000267
/CVDO_0000248 /OGMS_0000045
/DOID_4248 /OGMS_0000045
/CVDO_0000234 /DOID_178
/OGMS_0000066 
/DOID_11516 /OGMS_0000031
/DOID_0060000 
/DOID_10234 /CVDO_0000036
/CVDO_0000588 /OGMS_0000061
/CVDO_0000495 /DOID_10273
/FMA_3939 
/CVDO_0000238 /CVDO_0000092
/CVDO_0000578 /DOID_11516
/FMA_7234 
/DOID_11563 /OGMS_0000031
/DOID_9540 /CVDO_0000267
/CVDO_0000486 /DOID_10273
/CVDO_0000262 /OGMS_0000031
/DOID_12282 /DOID_3875
/DOID_8515 /OGMS_0000031
/DOID_5644 /OGMS_0000031
/DOID_484 /CVDO_0000267
/CVDO_0000500 /OGMS_0000045
/CVDO_0000476 /CVDO_0000319
/CVDO_0000459 /CVDO_0000223
/CVDO_0000586 /OGMS_0000061
/CVDO_0000569 /OGMS_0000031
/CVDO_0000015 /OGMS_0000045
/DOID_1787 /OGMS_0000031
/DOID_864 /OGMS_0000031
/CVDO_0000502 /OGMS_0000045
/CVDO_0000496 /DOID_10273
/CVDO_0000410 /CVDO_0000403
/CVDO_0000239 /CVDO_0000330
/CVDO_0000256 /DOID_11984
/DOID_2349 /DOID_2868
/DOID_13209 /DOID_10273
/CVDO_0000487 /DOID_10273
/CVDO_0000597 /OGMS_0000031
/OGMS_0000063 /BFO_0000015
/CVDO_0000170 /CVDO_0000210
/CVDO_0000280 /OGMS_0000061
/CVDO_0000040 /OGMS_0000061
/CVDO_0000023 /OGMS_0000045
/BFO_0000002 /BFO_0000001
/CVDO_0000510 /CVDO_0000556
/OGMS_0000094 
/CVDO_0000596 /DOID_114
/CVDO_0000579 /DOID_114
/FMA_7235 
/DOID_0050451 /CVDO_0000472
/CVDO_0000501 /OGMS_0000045
/DOID_10591 /CVDO_0000267
/CVDO_0000477 /DOID_10273
/CVDO_0000587 /OGMS_0000061
/CVDO_0000160 /CVDO_0000530
/BFO_0000023 /BFO_0000017
/BFO_0000001 /owl#Thing
/BFO_0000035 /BFO_0000003
/CVDO_0000041 /DOID_1787
/FMA_67165 /BFO_0000040
/CVDO_0000511 /CVDO_0000510
/DOID_2316 
/BFO_0000024 /BFO_0000040
/DOID_3669 /CVDO_0000267
/FMA_66645 
/CVDO_0000285 /DOID_11713
/CVDO_0000175 /CVDO_0000182
/DOID_1461 /CVDO_0000225
/CVDO_0000405 /CVDO_0000403
/CVDO_0000515 /OGMS_0000061
/FMA_21185 
/CVDO_0000506 /CVDO_0000503
/DOID_4078 /OGMS_0000031
/CVDO_0000275 /OGMS_0000061
/CVDO_0000505 /CVDO_0000503
/OGMS_0000059 /BFO_0000015
/CVDO_0000183 /CVDO_0000279
/CVDO_0000042 /DOID_1787
/DOID_0050700 /OGMS_0000031
/FMA_50762 
/BFO_0000141 /BFO_0000004
/CVDO_0000139 /DOID_10273
/CVDO_0000156 /CVDO_0000420
/FMA_49893 
/CVDO_0000046 /DOID_10273
/CVDO_0000423 /CVDO_0000420
/CVDO_0000406 /CVDO_0000403
/CVDO_0000516 /OGMS_0000061
/CVDO_0000193 /BFO_0000019
/CVDO_0000036 /CVDO_0000033
/CVDO_0000184 /CVDO_0000183
/DOID_820 /OGMS_0000031
/DOID_3103 /CVDO_0000267
/CVDO_0000037 /CVDO_0000033
/CVDO_0000524 /CVDO_0000518
/CVDO_0000507 /CVDO_0000503
/CVDO_0000276 /OGMS_0000061
/CVDO_0000293 /DOID_3393
/CVDO_0000166 /CVDO_0000210
/CVDO_0000284 /DOID_11713
/CVDO_0000267 /DOID_178
/CVDO_0000404 /CVDO_0000403
/CVDO_0000514 /OGMS_0000061
/DOID_10230 
/DOID_8517 /DOID_8515
/FMA_50720 
/CVDO_0000033 /DOID_1787
/CVDO_0000143 /DOID_10273
/DOID_12930 /OGMS_0000031
/CVDO_0000520 /CVDO_0000542
/BFO_0000003 /BFO_0000001
/DOID_6713 /CVDO_0000267
/FMA_9869 
/CVDO_0000538 /OGMS_0000031
/CVDO_0000294 /CVDO_0000330
/FMA_7110 
/DOID_2494 /CVDO_0000267
/DOID_5232 /OGMS_0000031
/FMA_66326 
/CVDO_0000189 /OGMS_0000031
/CVDO_0000529 /CVDO_0000521
/FMA_6266 
/CVDO_0000298 /DOID_10273
/DOID_1754 /OGMS_0000031
/CVDO_0000442 /CVDO_0000439
/CVDO_0000552 /OGMS_0000031
/CVDO_0000082 /DOID_10273
/CVDO_0000065 /DOID_10273
/CVDO_0000051 /CVDO_0000047
/CVDO_0000450 /CVDO_0000308
/BFO_0000142 /BFO_0000140
/CVDO_0000148 /OGMS_0000045
/CVDO_0000542 /OGMS_0000060
/CVDO_0000525 /CVDO_0000518
/FMA_50722 
/FMA_7246 
/CVDO_0000437 /CVDO_0000092
/CVDO_0000547 /OGMS_0000061
/FMA_14284 
/CVDO_0000470 /DOID_13884
/CVDO_0000323 /CVDO_0000314
/CVDO_0000299 /DOID_10273
/CVDO_0000092 /DOID_10273
/DOID_5805 /OGMS_0000031
/CVDO_0000562 /OGMS_0000045
/FMA_86188 
/CVDO_0000322 /CVDO_0000313
/DOID_5453 /CVDO_0000267
/CVDO_0000570 /CVDO_0000571
/CVDO_0000443 /CVDO_0000310
/CVDO_0000553 /OGMS_0000045
/BFO_0000008 /BFO_0000003
/DOID_10314 /OGMS_0000031
/DOID_9651 
/CVDO_0000313 /CVDO_0000311
/BFO_0000031 /BFO_0000002
/DOID_13884 /DOID_10273
/CVDO_0000560 /OGMS_0000061
/CVDO_0000543 /DOID_12930
/DOID_10556 /CVDO_0000234
/BFO_0000018 /BFO_0000006
/BFO_0000029 /BFO_0000141
/DOID_1712 /OGMS_0000031
/DOID_11482 /OGMS_0000031
/CVDO_0000304 /DOID_10273
/OGMS_0000031 /BFO_0000016
/CVDO_0000455 /CVDO_0000453
/DOID_397 /OGMS_0000031
/CVDO_0000194 /CVDO_0000193
/CVDO_0000047 /OGMS_0000045
/CVDO_0000064 /DOID_10273
/CVDO_0000441 /CVDO_0000439
/CVDO_0000424 /CVDO_0000420
/CVDO_0000534 /OGMS_0000061
/CVDO_0000551 /OGMS_0000061
/DOID_61 /OGMS_0000031
/BFO_0000019 /BFO_0000020
/CVDO_0000475 /DOID_10273
/FMA_86044 
/FMA_49879 
/CVDO_0000571 /OGMS_0000061
/CVDO_0000331 /OGMS_0000061
/CVDO_0000314 /CVDO_0000311
/DOID_12010 /CVDO_0000231
/CVDO_0000448 /CVDO_0000306
/CVDO_0000575 /OGMS_0000061
/CVDO_0000558 /DOID_3394
/CVDO_0000318 /CVDO_0000312
/FMA_50763 
/DOID_6712 /DOID_325
/CVDO_0000088 /DOID_10273
/CVDO_0000548 /OGMS_0000061
/DOID_4562 /CVDO_0000010
/DOID_4080 /OGMS_0000031
/CVDO_0000456 /CVDO_0000453
/CVDO_0000439 /CVDO_0000310
/BFO_0000182 /BFO_0000015
/CVDO_0000309 /CVDO_0000439
/DOID_471 /DOID_255
/DOID_0050650 /CVDO_0000092
/FMA_14333 
/DOID_13241 /CVDO_0000267
/DOID_6432 
/CVDO_0000556 /DOID_326
/CVDO_0000539 /CVDO_0000047
/CVDO_0000332 /CVDO_0000331
/DOID_112 /CVDO_0000214
/DOID_11695 /CVDO_0000217
/OGMS_0000060 /BFO_0000015
/BFO_0000147 /BFO_0000140
/DOID_272 /CVDO_0000267
/CVDO_0000466 /CVDO_0000047
/CVDO_0000576 /OGMS_0000061
/CVDO_0000319 /CVDO_0000313
/DOID_4193 /CVDO_0000217
/CVDO_0000209 /OGMS_0000031
/CVDO_0000226 /OGMS_0000045
/CVDO_0000474 /CVDO_0000472
/CVDO_0000457 /CVDO_0000445
/FMA_18883 
/CVDO_0000567 /OGMS_0000031
/CVDO_0000584 /CVDO_0000571
/CVDO_0000217 /OGMS_0000061
/CVDO_0000327 /OGMS_0000045
/CVDO_0000010 /DOID_0060000
/CVDO_0000549 /OGMS_0000045
/OGMS_0000047 
/OGMS_0000064 
/CVDO_0000447 /CVDO_0000306
/CVDO_0000557 /OGMS_0000061
/CVDO_0000240 /OGMS_0000061
/CVDO_0000223 /OGMS_0000061
/CVDO_0000333 /CVDO_0000331
/DOID_9477 /CVDO_0000225
/DOID_11847 /CVDO_0000217
/BFO_0000020 /BFO_0000002
/BFO_0000009 /BFO_0000006
/DOID_14265 /OGMS_0000031
/CVDO_0000580 /OGMS_0000031
/OGMS_0000045 /BFO_0000040
/DOID_2403 /OGMS_0000031
/CVDO_0000231 /OGMS_0000031
/CVDO_0000214 /OGMS_0000045
/CVDO_0000324 /CVDO_0000314
/DOID_3394 /OGMS_0000031
/CVDO_0000093 /CVDO_0000111
/OGMS_0000065 
/CVDO_0000011 /DOID_0060000
/CVDO_0000097 /DOID_10273
/DOID_3410 
/CVDO_0000479 /DOID_10273
/CVDO_0000589 /OGMS_0000061
/CVDO_0000162 /CVDO_0000530
/CVDO_0000255 /CVDO_0000569
/FMA_7095 
/DOID_0060068 /owl#Thing
/DOID_988 /OGMS_0000031
/DOID_9428 /DOID_10763
/CVDO_0000111 /CVDO_0000445
/FMA_7236 
/DOID_3455 /OGMS_0000061
/CVDO_0000585 /OGMS_0000061
/DOID_10392 /DOID_10273
/BFO_0000148 /BFO_0000008
/FMA_86187 
/DOID_255 /CVDO_0000267
/CVDO_0000493 /DOID_10273
/CVDO_0000012 /DOID_0060000
/DOID_682 /CVDO_0000231
/CVDO_0000497 /OGMS_0000061
/DOID_11312 /DOID_10273
/CVDO_0000163 /CVDO_0000530
/CVDO_0000273 /OGMS_0000061
/CVDO_0000016 /OGMS_0000045
/CVDO_0000503 /OGMS_0000061
/DOID_865 /OGMS_0000031
/CVDO_0000171 /CVDO_0000210
/OGMS_0000078 /BFO_0000040
/CVDO_0000254 /DOID_0050700
/CVDO_0000140 /CVDO_0000310
/DOID_11502 /OGMS_0000031
/DOID_3875 /OGMS_0000031
/DOID_3393 /DOID_3394
/FMA_7100 
/CVDO_0000484 /DOID_10273
/DOID_2388 /CVDO_0000267
/CVDO_0000020 /OGMS_0000045
/FMA_7101 
/BFO_0000011 /BFO_0000003
/CVDO_0000600 /OGMS_0000061
/DOID_0050431 /OGMS_0000031
/DOID_866 /OGMS_0000031
/DOID_3951 /DOID_820
